,0
Start,2004-08-19 00:00:00
End,2013-03-01 00:00:00
Duration,3116 days 00:00:00
Exposure Time [%],94.27374301675978
Equity Final [$],56263.51934000004
Equity Peak [$],56309.05934000004
Commissions [$],10563.951540000002
Return [%],462.6351934000004
Buy & Hold Return [%],607.3703606212162
Return (Ann.) [%],22.4659753541286
Volatility (Ann.) [%],37.41289755538683
CAGR [%],14.993431821733449
Sharpe Ratio,0.6004874474335891
Sortino Ratio,1.144498311417915
Calmar Ratio,0.6620961217295929
Alpha [%],450.6213474022804
Beta,0.019780099222214746
Max. Drawdown [%],-33.93159182905461
Avg. Drawdown [%],-6.160722831468626
Max. Drawdown Duration,830 days 00:00:00
Avg. Drawdown Duration,50 days 00:00:00
# Trades,93
Win Rate [%],54.83870967741935
Best Trade [%],57.43354818089812
Worst Trade [%],-16.39663865546217
Avg. Trade [%],2.163812115526076
Max. Trade Duration,121 days 00:00:00
Avg. Trade Duration,32 days 00:00:00
Profit Factor,2.2711854057477234
Expectancy [%],2.6946797718582363
SQN,2.013579258931508
Kelly Criterion,0.2618965998107354
_strategy,SmaCross
_equity_curve,"                 Equity  DrawdownPct DrawdownDuration
2004-08-19  10000.00000     0.000000              NaT
2004-08-20  10000.00000     0.000000              NaT
2004-08-23  10000.00000     0.000000              NaT
2004-08-24  10000.00000     0.000000              NaT
2004-08-25  10000.00000     0.000000              NaT
...                 ...          ...              ...
2013-02-25  55199.53934     0.019704              NaT
2013-02-26  55155.37934     0.020488              NaT
2013-02-27  55821.22934     0.008663              NaT
2013-02-28  55919.20934     0.006923              NaT
2013-03-01  56263.51934     0.000809          10 days

[2148 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ExitPrice    SL    TP      PnL  \
0    -59        63       75      169.02     179.13  None  None  -596.49   
1     52        75       85      179.13     182.00  None  None   149.24   
2    -51        85       88      182.00     187.45  None  None  -277.95   
3     48        88      110      187.45     179.27  None  None  -392.64   
4    -48       110      119      179.27     196.96  None  None  -849.12   
..   ...       ...      ...         ...        ...   ...   ...      ...   
88   -61      1927     1947      647.55     610.35  None  None  2269.20   
89    68      1947     1960      610.35     588.72  None  None -1470.84   
90   -68      1960     1983      588.72     580.01  None  None   592.28   
91    69      1983     2059      580.01     705.58  None  None  8664.33   
92   -69      2059     2087      705.58     702.24  None  None   230.46   

    ReturnPct  EntryTime   ExitTime Duration   Tag  Entry_SMA(C,10)  \
0   -0.059815 2004-11-17 2004-12-06  19 days  None          175.809   
1    0.016022 2004-12-06 2004-12-20  14 days  None          176.585   
2   -0.029945 2004-12-20 2004-12-23   3 days  None          175.698   
3   -0.043638 2004-12-23 2005-01-26  34 days  None          180.009   
4   -0.098678 2005-01-26 2005-02-08  13 days  None          192.116   
..        ...        ...        ...      ...   ...              ...   
88   0.057447 2012-04-13 2012-05-11  28 days  None          636.752   
89  -0.035439 2012-05-11 2012-05-31  20 days  None          607.291   
90   0.014795 2012-05-31 2012-07-03  33 days  None          600.644   
91   0.216496 2012-07-03 2012-10-19 108 days  None          572.156   
92   0.004734 2012-10-19 2012-12-03  45 days  None          736.068   

    Exit_SMA(C,10)  Entry_SMA(C,20)  Exit_SMA(C,20)  
0          176.585         180.0790        175.3415  
1          175.698         175.3415        176.1415  
2          180.009         176.1415        178.6700  
3          192.116         178.6700        193.3085  
4          197.103         193.3085        194.8245  
..             ...              ...             ...  
88         607.291         639.4585        606.5200  
89         600.644         606.5200        605.3425  
90         572.156         605.3425        571.5720  
91         736.068         571.5720        747.0325  
92         677.306         747.0325        669.6060  

[93 rows x 17 columns]"
